"Dept Unit","Job Class","Exposure Type","Count","% of Total"
"Acute IRF-Nursing: 11200","CLINICAL NURSE (RN): 5334","EXP- Not considered  BBP Exp","3","0.1"
"Acute IRF-Nursing: 11200","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","2","0.1"
"Acute IRF-Nursing: 11200","GRAD CLINICAL NURSE: 5381","TB-Exposure Confirmed/Actual","1","0.0"
"Acute IRF-Nursing: 11200","PATIENT CARE TECH: 5342","*ERROR Logging Incident","1","0.0"
"Acute IRF-Nursing: 11200","PATIENT CARE TECH: 5342","EXPNIS- Non-Intact Skin BBP","2","0.1"
"Acute IRF-Nursing: 11200","PATIENT CARE TECH: 5342","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Acute IRF-Nursing: 11200","UNIT COORDINATOR: 5341","ENV-Exposure To Chemical","1","0.0"
"Acute IRF-Therapy: 15665","OCCUP THERAPIST: 5514","ENV-Exposure To Noise","1","0.0"
"Acute IRF-Therapy: 15665","POOL LIC PT ASST: 75504","TB-Exposure Confirmed/Actual","2","0.1"
"Acute IRF-Therapy: 15665","POOL PHYSICAL THERAPIST: 75506","EXP- Not considered  BBP Exp","1","0.0"
"Acute IRF-Therapy: 15665","POOL REHAB THER TECH: 73739","EXPMM- Mucous Membrane BBP","1","0.0"
"Acute IRF-Therapy: 15665","Unspecified: Job Class","ENV-Exposure Source Unknown","1","0.0"
"Acute IRF-Therapy: 15665","Unspecified: Job Class","ENV-Exposure To Noise","1","0.0"
"Admit Discharge Unit 1J1, 2K7: 10004","CARDIAC MONITOR TECH: 5349","CD-Pertussis Exposur Confirmed","1","0.0"
"Admit Discharge Unit 1J1, 2K7: 10004","CLINICAL NURSE (RN): 5334","CD-Pertussis Exposur Confirmed","4","0.2"
"Admit Discharge Unit 1J1, 2K7: 10004","CLINICAL NURSE (RN): 5334","EXP- Not considered  BBP Exp","1","0.0"
"Admit Discharge Unit 1J1, 2K7: 10004","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","3","0.1"
"Admit Discharge Unit 1J1, 2K7: 10004","CLINICAL UNIT EDUCATOR: 327","CD-Pertussis Exposur Confirmed","1","0.0"
"Admit Discharge Unit 1J1, 2K7: 10004","PATIENT CARE TECH: 5342","CD-Pertussis Exposur Confirmed","3","0.1"
"Admit Discharge Unit 1J1, 2K7: 10004","POOL RN-C: 75363","CD-Pertussis Exposur Confirmed","1","0.0"
"Adult Dialysis & Apheresis: 13315","CLINICAL NURSE (RN): 5334","CD-N.Meningitis  Exp Confirmed","4","0.2"
"Adult Dialysis & Apheresis: 13315","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","1","0.0"
"Adult Dialysis & Apheresis: 13315","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","6","0.2"
"Adult Dialysis & Apheresis: 13315","CLINICAL NURSE (RN): 5334","TB-Exposure Confirmed/Actual","3","0.1"
"Adult Dialysis & Apheresis: 13315","CLINICAL NURSE (RN): 5334","Unspecified","1","0.0"
"Adult Dialysis & Apheresis: 13315","CLINICIAN: 5371","CD-N.Meningitis  Exp Confirmed","1","0.0"
"Adult Dialysis & Apheresis: 13315","PATIENT CARE TECH: 5342","CD-N.Meningitis  Exp Confirmed","1","0.0"
"Adult ICU Stepdown 4F1: 10320","CLINICAL NURSE (RN): 5334","CD-C Diff Exposure","1","0.0"
"Adult ICU Stepdown 4F1: 10320","CLINICAL NURSE (RN): 5334","CD-Parvovirus Exposure","1","0.0"
"Adult ICU Stepdown 4F1: 10320","CLINICAL NURSE (RN): 5334","EXP- No Exposure","2","0.1"
"Adult ICU Stepdown 4F1: 10320","CLINICAL NURSE (RN): 5334","EXP- Not considered  BBP Exp","1","0.0"
"Adult ICU Stepdown 4F1: 10320","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","6","0.2"
"Adult ICU Stepdown 4F1: 10320","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","3","0.1"
"Adult ICU Stepdown 4F1: 10320","CLINICAL UNIT EDUCATOR: 327","EXP- Not considered  BBP Exp","1","0.0"
"Adult ICU Stepdown 4F1: 10320","CLINICAL UNIT EDUCATOR: 327","EXPMM- Mucous Membrane BBP","1","0.0"
"Adult ICU Stepdown 4F1: 10320","NURSE TECH - R1: 5380","EXP- No Exposure","1","0.0"
"Adult ICU Stepdown 4F1: 10320","PATIENT CARE TECH: 5342","EXP- Not considered  BBP Exp","1","0.0"
"Adult Med/Surg ICU 1J2-3: 10530","CLINICAL NURSE (RN): 5334","EXP- Not considered  BBP Exp","4","0.2"
"Adult Med/Surg ICU 1J2-3: 10530","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","2","0.1"
"Adult Med/Surg ICU 1J2-3: 10530","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","3","0.1"
"Adult Med/Surg ICU 1J2-3: 10530","CLINICIAN: 5371","EXP-No Exp Incident Report Fil","1","0.0"
"Adult Med/Surg ICU 1J2-3: 10530","CLINICIAN: 5371","EXPMM- Mucous Membrane BBP","1","0.0"
"Adult Med/Surg ICU 1J2-3: 10530","POOL RN-C: 75363","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Advanced Practice: 20001","ARNP: 5300","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Aeromed I: 13101","AEROMED COMM TECH: 5335","EXPMM- Mucous Membrane BBP","1","0.0"
"Aeromed I: 13101","CLINICAL NURSE (RN): 5334","TB-Exposure Confirmed/Actual","1","0.0"
"Aeromed I: 13101","FLIGHT PARAMEDIC: 5333","EXP- No Exposure","1","0.0"
"Aeromed I: 13101","FLIGHT PARAMEDIC: 5333","EXPMM- Mucous Membrane BBP","1","0.0"
"Aeromed I: 13101","FLIGHT PARAMEDIC: 5333","TB-Exposure Confirmed/Actual","1","0.0"
"Aeromed I: 13101","Unspecified: Job Class","ENV-Exposure Source Unknown","1","0.0"
"Aeromed II: 13102","FLIGHT PARAMEDIC: 5333","CD-N.Meningitis No Exposure","1","0.0"
"Aeromed II: 13102","SR TRANSPLANT COORD: 5383","CD-N.Meningitis No Exposure","1","0.0"
"Aeromed IV: 13104","CLINICAL NURSE (RN): 5334","CD-Pertussis Exposur Confirmed","1","0.0"
"AMB FACILITIES MAINTENANCE: 68061","FACILITIES TECHNICIAN  I: 763","ENV-Exposure To Chemical","1","0.0"
"AMB PEDIATRIC CLINIC: Z67125","TEMP MED ASST TECH: 15367","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Anesthesiology: 11625","ANESTHESIA TECH I: 5967","ENV-Exposure To Chemical","2","0.1"
"Anesthesiology: 11625","ANESTHESIA TECH I: 5967","EXP- Not considered  BBP Exp","1","0.0"
"Anesthesiology: 11625","ANESTHESIA TECH I: 5967","EXPMM- Mucous Membrane BBP","1","0.0"
"Anesthesiology: 11625","ANESTHESIA TECH I: 5967","EXPNS-Needlestick/Sharp BBP","3","0.1"
"Anesthesiology: 11625","ANESTHESIA TECH II: 5962","EXPNS-Needlestick/Sharp BBP","2","0.1"
"Ante Post Partum 4A1-3: 11000","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","4","0.2"
"Ante Post Partum 4A1-3: 11000","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","3","0.1"
"Ante Post Partum 4A1-3: 11000","CLINICIAN: 5371","EXPMM- Mucous Membrane BBP","1","0.0"
"Biomedical Engineering: 20420","BIOMED ELEC TECH: 6536","TB-Exposure Confirmed/Actual","1","0.0"
"Biomedical Engineering: 20420","Unspecified: Job Class","ENV-Exposure Source Unknown","1","0.0"
"Burn Center 6C2-3: 10200","ARNP: 5300","EXPNS-Needlestick/Sharp BBP","2","0.1"
"Burn Center 6C2-3: 10200","CLINICAL NURSE (RN): 5334","EXP- Not considered  BBP Exp","2","0.1"
"Burn Center 6C2-3: 10200","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","5","0.2"
"Burn Center 6C2-3: 10200","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","9","0.3"
"Burn Center 6C2-3: 10200","CLINICAL NURSE (RN): 5334","Unspecified","2","0.1"
"Burn Center 6C2-3: 10200","CLINICIAN: 5371","EXP- Not considered  BBP Exp","1","0.0"
"Burn Center 6C2-3: 10200","CLINICIAN: 5371","EXPMM- Mucous Membrane BBP","1","0.0"
"Burn Center 6C2-3: 10200","PATIENT CARE TECH: 5342","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Burn Center 6C2-3: 10200","UNIT COORDINATOR: 5341","EXP- Not considered  BBP Exp","1","0.0"
"Burn Center 6C2-3: 10200","WOUND CARE NURSE CLINICIAN: 929","CD-Scabies Exposure Confirmed","1","0.0"
"Burn Center 6C2-3: 10200","WOUND CARE NURSE CLINICIAN: 929","CD-Scabies Norwegian Exposure","1","0.0"
"Cardiac Observation Unit: 10335","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","3","0.1"
"Cardiac Observation Unit: 10335","PATIENT CARE TECH: 5342","EXPS-Skin Exposure BBP","1","0.0"
"Cardiac Observation Unit: 10335","PATIENT CARE TECH: 5342","Unspecified","1","0.0"
"Cardiac Perfusion Svcs: 11630","Clinical Perfusionist: 5543","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Cardiac Telemetry 5A1-2: 10305","CLINICAL NURSE (RN): 5334","EXP- No Exposure","2","0.1"
"Cardiac Telemetry 5A1-2: 10305","CLINICAL NURSE (RN): 5334","EXP- Not considered  BBP Exp","3","0.1"
"Cardiac Telemetry 5A1-2: 10305","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","2","0.1"
"Cardiac Telemetry 5A1-2: 10305","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","6","0.2"
"Cardiac Telemetry 5A1-2: 10305","CLINICIAN: 5371","EXPNIS- Non-Intact Skin BBP","1","0.0"
"Cardiac Telemetry 5A1-2: 10305","GRAD CLINICAL NURSE: 5381","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Cardiac Telemetry 5A1-2: 10305","PATIENT CARE TECH: 5342","EXP- Not considered  BBP Exp","2","0.1"
"Cardiac Telemetry 5A1-2: 10305","POOL RN-C: 75363","EXPNS-Needlestick/Sharp BBP","3","0.1"
"Cardiac Vasc Transplant Surg: 11415","CLINICAL NURSE (RN): 5334","ENV-Exposure To Chemical","1","0.0"
"Cardiac Vasc Transplant Surg: 11415","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","1","0.0"
"Cardiac Vasc Transplant Surg: 11415","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","5","0.2"
"Cardiac Vasc Transplant Surg: 11415","OR ROOM TURNOVER TECH: 2002","TB-Exposure Confirmed/Actual","1","0.0"
"Cardiac Vasc Transplant Surg: 11415","ORGAN PROC SURG TECH: 5976","EXPNS-Needlestick/Sharp BBP","3","0.1"
"Cardiac Vasc Transplant Surg: 11415","ORGAN PROC SURG TECH: 5976","TB-Exposure Confirmed/Actual","1","0.0"
"Cardiac Vasc Transplant Surg: 11415","RN FIRST ASST (RNFA): 5373","EXPMM- Mucous Membrane BBP","1","0.0"
"Cardiac Vasc Transplant Surg: 11415","SUPPORT SVCS AIDE: 6516","EXP- Not considered  BBP Exp","1","0.0"
"Cardiac Vasc Transplant Surg: 11415","SUPPORT SVCS AIDE: 6516","EXPNS-Needlestick/Sharp BBP","2","0.1"
"Cardiac Vasc Transplant Surg: 11415","SUPPORT SVCS AIDE: 6516","TB-Exposure Confirmed/Actual","5","0.2"
"Cardiac Vasc Transplant Surg: 11415","Surgical Tech 1: 5982","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Cardiac Vasc Transplant Surg: 11415","Surgical Tech 2: 5978","EXP- Not considered  BBP Exp","1","0.0"
"Cardiac Vasc Transplant Surg: 11415","Surgical Tech 2: 5978","EXPNS-Needlestick/Sharp BBP","2","0.1"
"Cardiac Vasc Transplant Surg: 11415","Surgical Tech 2: 5978","TB-Exposure Confirmed/Actual","1","0.0"
"Cardiac Vasc Transplant Surg: 11415","Surgical Tech 3: 5979","EXP-Source Patient Test Only","1","0.0"
"Cardiac Vasc Transplant Surg: 11415","Surgical Tech 3: 5979","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Cardiac Vasc Transplant Surg: 11415","Surgical Tech 4: 5977","EXPNS-Needlestick/Sharp BBP","4","0.2"
"Cardiothoracic ICU 3D1-2: 10510","ARNP: 5300","CD-Influenza Exposure","1","0.0"
"Cardiothoracic ICU 3D1-2: 10510","ARNP: 5300","EXPMM- Mucous Membrane BBP","1","0.0"
"Cardiothoracic ICU 3D1-2: 10510","ARNP: 5300","TB-Exposure Confirmed/Actual","1","0.0"
"Cardiothoracic ICU 3D1-2: 10510","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","10","0.4"
"Cardiothoracic ICU 3D1-2: 10510","CLINICAL NURSE (RN): 5334","EXPNIS- Non-Intact Skin BBP","2","0.1"
"Cardiothoracic ICU 3D1-2: 10510","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","10","0.4"
"Cardiothoracic ICU 3D1-2: 10510","CLINICAL NURSE (RN): 5334","TB-Exposure Confirmed/Actual","26","1.0"
"Cardiothoracic ICU 3D1-2: 10510","CLINICAL NURSE (RN): 5334","Unspecified","5","0.2"
"Cardiothoracic ICU 3D1-2: 10510","CLINICAL UNIT EDUCATOR: 327","EXPMM- Mucous Membrane BBP","1","0.0"
"Cardiothoracic ICU 3D1-2: 10510","CLINICIAN: 5371","EXP- Not considered  BBP Exp","1","0.0"
"Cardiothoracic ICU 3D1-2: 10510","CLINICIAN: 5371","EXPMM- Mucous Membrane BBP","1","0.0"
"Cardiothoracic ICU 3D1-2: 10510","CLINICIAN: 5371","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Cardiothoracic ICU 3D1-2: 10510","CLINICIAN: 5371","TB-Exposure Confirmed/Actual","2","0.1"
"Cardiothoracic ICU 3D1-2: 10510","NURSE TECH - R1: 5380","TB-Exposure Confirmed/Actual","1","0.0"
"Cardiothoracic ICU 3D1-2: 10510","PATIENT CARE TECH: 5342","TB-Exposure Confirmed/Actual","2","0.1"
"Cardiothoracic ICU 3D1-2: 10510","PATIENT CARE TECH: 5342","Unspecified","1","0.0"
"Cardiovascular Telemetry 3H1: 10300","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","1","0.0"
"Cardiovascular Telemetry 3H1: 10300","CLINICAL NURSE (RN): 5334","EXPNIS- Non-Intact Skin BBP","1","0.0"
"Cardiovascular Telemetry 3H1: 10300","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","4","0.2"
"Cardiovascular Telemetry 3H1: 10300","CLINICIAN: 5371","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Cardiovascular Telemetry 3H1: 10300","CLINICIAN: 5371","Unspecified","1","0.0"
"Cardiovascular Telemetry 3H1: 10300","POOL RN-B: 75362","TB-Exposure Confirmed/Actual","1","0.0"
"Case Management Admin: 20110","Unspecified: Job Class","ENV-Exposure Source Unknown","1","0.0"
"Clinical Nutrition Svcs: 20406","CLIN NUTRITION SPCL: 6102","CD-Scabies Exposure Confirmed","1","0.0"
"Clinical Nutrition Svcs: 20406","CLIN NUTRITION SPCL: 6102","TB-Exposure Confirmed/Actual","2","0.1"
"Clinical Resources: 16000","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Clinical Resources: 16000","FLEX PCT: 75342","CD-Pertussis Exposur Confirmed","3","0.1"
"Clinical Resources: 16000","FLEX PCT: 75342","EXP- No Exposure","1","0.0"
"Clinical Resources: 16000","FLEX PCT: 75342","EXP- Not considered  BBP Exp","1","0.0"
"Clinical Resources: 16000","FLEX PCT: 75342","EXPMM- Mucous Membrane BBP","2","0.1"
"Clinical Resources: 16000","FLEX PCT: 75342","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Clinical Resources: 16000","FLEX PCT: 75342","TB-Exposure Confirmed/Actual","7","0.3"
"Clinical Resources: 16000","FLEX UNIT COORD: 75341","TB-Exposure Confirmed/Actual","1","0.0"
"Clinical Resources: 16000","NURSE TECH - R1: 5380","TB-Exposure Confirmed/Actual","3","0.1"
"Clinical Resources: 16000","POOL NURSE TECH- R1: 75380","CD-Pediculosis","1","0.0"
"Clinical Resources: 16000","POOL NURSE TECH- R1: 75380","EXP- No Exposure","1","0.0"
"Clinical Resources: 16000","POOL NURSE TECH- R1: 75380","TB-Exposure Confirmed/Actual","4","0.2"
"Clinical Resources: 16000","POOL RN-A: 75361","ENV-Exposure To Chemical","1","0.0"
"Clinical Resources: 16000","POOL RN-B: 75362","EXPMM- Mucous Membrane BBP","1","0.0"
"Clinical Resources: 16000","POOL RN-B: 75362","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Clinical Resources: 16000","POOL RN-C: 75363","EXPNS-Needlestick/Sharp BBP","3","0.1"
"Clinical Resources: 16000","POOL RN-C: 75363","EXPS-Skin Exposure BBP","1","0.0"
"Clinical Resources: 16000","POOL RN-C: 75363","TB-Exposure Confirmed/Actual","2","0.1"
"Clinical Resources: 16000","RAPID RESPONSE RN: 160","EXP- No Exposure","1","0.0"
"Clinical Resources: 16000","RAPID RESPONSE RN: 160","TB-Exposure Confirmed/Actual","2","0.1"
"Clinical Resources: 16000","SST/RN/DIV: 5302","CD-Pertussis Exposur Confirmed","1","0.0"
"Clinical Resources: 16000","SST/RN/DIV: 5302","ENV-Exposure To Chemical","1","0.0"
"Clinical Resources: 16000","SST/RN/DIV: 5302","ENV-Exposure Ultraviolet Light","1","0.0"
"Clinical Resources: 16000","SST/RN/DIV: 5302","EXP- Not considered  BBP Exp","2","0.1"
"Clinical Resources: 16000","SST/RN/DIV: 5302","EXPMM- Mucous Membrane BBP","3","0.1"
"Clinical Resources: 16000","SST/RN/DIV: 5302","EXPNIS- Non-Intact Skin BBP","1","0.0"
"Clinical Resources: 16000","SST/RN/DIV: 5302","EXPNS-Needlestick/Sharp BBP","4","0.2"
"Clinical Resources: 16000","SST/RN/DIV: 5302","TB-Exposure Confirmed/Actual","7","0.3"
"Clinical Resources: 16000","Unspecified: Job Class","ENV-Exposure Source Unknown","1","0.0"
"Community Relations: 21625","MGR, COMMUNITY RELATIONS: 6527","ENV-Exposure Source Unknown","1","0.0"
"Community Relations: 21625","Unspecified: Job Class","ENV-Exposure Source Unknown","1","0.0"
"Complex Medicine 1 6A1: 10720","CLINICAL NURSE (RN): 5334","CD-Pertussis Exposur Confirmed","1","0.0"
"Complex Medicine 1 6A1: 10720","CLINICAL NURSE (RN): 5334","ENV-Exposure To Chemical","2","0.1"
"Complex Medicine 1 6A1: 10720","CLINICAL NURSE (RN): 5334","EXP- No Exposure","1","0.0"
"Complex Medicine 1 6A1: 10720","CLINICAL NURSE (RN): 5334","EXP-BBP Personal Exposure","1","0.0"
"Complex Medicine 1 6A1: 10720","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","8","0.3"
"Complex Medicine 1 6A1: 10720","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","11","0.4"
"Complex Medicine 1 6A1: 10720","CLINICAL NURSE (RN): 5334","EXPS-Skin Exposure BBP","2","0.1"
"Complex Medicine 1 6A1: 10720","CLINICAL NURSE (RN): 5334","TB-No Exposure","1","0.0"
"Complex Medicine 1 6A1: 10720","NURSE TECH - R1: 5380","CD-Pertussis Exposur Confirmed","1","0.0"
"Complex Medicine 1 6A1: 10720","Orientation RN: 5401","EXP- No Exposure","1","0.0"
"Complex Medicine 1 6A1: 10720","Orientation RN: 5401","EXPNS-Needlestick/Sharp BBP","3","0.1"
"Complex Medicine 1 6A1: 10720","PATIENT CARE TECH: 5342","CD-Parvovirus Exposure","1","0.0"
"Complex Medicine 1 6A1: 10720","PATIENT CARE TECH: 5342","CD-Pertussis Exposur Confirmed","3","0.1"
"Complex Medicine 1 6A1: 10720","PATIENT CARE TECH: 5342","EXP- Not considered  BBP Exp","1","0.0"
"Complex Medicine 1 6A1: 10720","PATIENT CARE TECH: 5342","EXPMM- Mucous Membrane BBP","1","0.0"
"Complex Medicine 1 6A1: 10720","PATIENT CARE TECH: 5342","Unspecified","1","0.0"
"Complex Medicine 1 6A1: 10720","POOL RN-C: 75363","CD-Pertussis Exposur Confirmed","1","0.0"
"Complex Medicine 2 6A2 7A2: 10745","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","1","0.0"
"Core - Ctr For Research Excel: 15810","CLIN RES DATA COORD: 977","EXPNS-Needlestick/Sharp BBP","1","0.0"
"Coronary Care ICU 5C1-2: 10505","CLINICAL NURSE (RN): 5334","EXP- Not considered  BBP Exp","2","0.1"
"Coronary Care ICU 5C1-2: 10505","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","8","0.3"
"Coronary Care ICU 5C1-2: 10505","CLINICAL NURSE (RN): 5334","EXPNIS- Non-Intact Skin BBP","1","0.0"
"Coronary Care ICU 5C1-2: 10505","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","9","0.3"
"Coronary Care ICU 5C1-2: 10505","CLINICAL NURSE (RN): 5334","EXPS-Skin Exposure BBP","1","0.0"
"Coronary Care ICU 5C1-2: 10505","POOL RN-C: 75363","EXPMM- Mucous Membrane BBP","1","0.0"
"Corporate Compliance & Audit: 20300","SR INTERNAL AUDITOR: 5135","ENV-Exposure Source Unknown","1","0.0"
"Critical Care Rotational Prgm: 16005","CLINICAL NURSE (RN): 5334","EXP- Not considered  BBP Exp","2","0.1"
"Critical Care Rotational Prgm: 16005","CLINICAL NURSE (RN): 5334","EXP-Source Patient Test Only","1","0.0"
"Critical Care Rotational Prgm: 16005","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","15","0.6"
"Critical Care Rotational Prgm: 16005","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","8","0.3"
"Critical Care Rotational Prgm: 16005","CLINICAL NURSE (RN): 5334","TB-Exposure Confirmed/Actual","8","0.3"
"Critical Care Rotational Prgm: 16005","GRAD CLINICAL NURSE: 5381","EXPNS-Needlestick/Sharp BBP","1","0.0"
"CV Interventional Lab: 13310","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","1","0.0"
"CV Interventional Lab: 13310","CLINICAL NURSE (RN): 5334","TB-Exposure Confirmed/Actual","1","0.0"
"CV Interventional Lab: 13310","CV IMAGING SPEC TM LDR: 5280","EXPNS-Needlestick/Sharp BBP","1","0.0"
"CV Interventional Lab: 13310","CV TECH 1: 5555","EXPMM- Mucous Membrane BBP","1","0.0"
"CV Interventional Lab: 13310","CV TECH 1: 5555","EXPNS-Needlestick/Sharp BBP","2","0.1"
"CV Interventional Lab: 13310","CV TECH 2: 5558","EXPNS-Needlestick/Sharp BBP","4","0.2"
"CV Interventional Lab: 13310","CV TECH 3: 5559","EXPMM- Mucous Membrane BBP","2","0.1"
"CV Interventional Lab: 13310","CV TECH 3: 5559","EXPNS-Needlestick/Sharp BBP","3","0.1"
"CV Interventional Lab: 13310","IRT 1- Interventional Rad Tech: 5964","EXPNS-Needlestick/Sharp BBP","1","0.0"
"CV Interventional Lab: 13310","IRT 3- Interventional Rad Tech: 5965","EXPNS-Needlestick/Sharp BBP","1","0.0"
"CV Interventional Lab: 13310","IRT- 1 INTERVENTIONAL RAD TECH: 5554","EXPMM- Mucous Membrane BBP","1","0.0"
"CV Pre Post Procedure: 10315","CLINICAL NURSE (RN): 5334","EXPMM- Mucous Membrane BBP","1","0.0"
"CV Pre Post Procedure: 10315","CLINICAL NURSE (RN): 5334","EXPNS-Needlestick/Sharp BBP","5","0.2"
"CV Pre Post Procedure: 10315","PATIENT CARE TECH: 5342","EXPNS-Needlestick/Sharp BBP","1","0.0"
